ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-03-09 01:30:00,5.34,-600.0,1200.0,6000.0,5.34
2022-03-09 01:35:00,5.45,-100.0,37400.0,57400.0,5.46
2022-03-09 01:40:00,5.5,600.0,68472.0,29100.0,5.51
2022-03-09 01:45:00,5.49,-1100.0,51000.0,29800.0,5.5
2022-03-09 01:50:00,5.46,1300.0,75300.0,29300.0,5.46
2022-03-09 01:55:00,5.45,1100.0,41600.0,800.0,5.45
2022-03-09 02:00:00,5.42,100.0,36300.0,113500.0,5.42
2022-03-09 02:05:00,5.42,500.0,32200.0,8400.0,5.42
2022-03-09 02:10:00,5.43,100.0,34900.0,33100.0,5.44
2022-03-09 02:15:00,5.46,100.0,19700.0,59100.0,5.46
2022-03-09 02:20:00,5.45,-200.0,73600.0,45300.0,5.46
2022-03-09 02:25:00,5.45,-100.0,39000.0,2500.0,5.46
2022-03-09 02:30:00,5.48,100.0,144300.0,157600.0,5.48
2022-03-09 02:35:00,5.45,100.0,43100.0,18900.0,5.45
2022-03-09 02:40:00,5.44,200.0,10100.0,69300.0,5.44
2022-03-09 02:45:00,5.45,100.0,13900.0,161300.0,5.45
2022-03-09 02:50:00,5.44,1000.0,28900.0,57600.0,5.44
2022-03-09 02:55:00,5.43,100.0,12000.0,10276.0,5.43
2022-03-09 03:00:00,5.44,200.0,14800.0,9700.0,5.44
2022-03-09 03:05:00,5.45,100.0,67400.0,60300.0,5.45
2022-03-09 03:10:00,5.43,100.0,20400.0,41376.0,5.43
2022-03-09 03:15:00,5.43,300.0,57400.0,41500.0,5.43
2022-03-09 03:20:00,5.42,100.0,10500.0,55900.0,5.42
2022-03-09 03:25:00,5.4,300.0,18300.0,279200.0,5.4
2022-03-09 03:30:00,,,,,
2022-03-09 03:35:00,,,,,
2022-03-09 03:40:00,,,,,
2022-03-09 03:45:00,,,,,
2022-03-09 03:50:00,,,,,
2022-03-09 03:55:00,,,,,
2022-03-09 04:00:00,,,,,
2022-03-09 04:05:00,,,,,
2022-03-09 04:10:00,,,,,
2022-03-09 04:15:00,,,,,
2022-03-09 04:20:00,,,,,
2022-03-09 04:25:00,,,,,
2022-03-09 04:30:00,,,,,
2022-03-09 04:35:00,,,,,
2022-03-09 04:40:00,,,,,
2022-03-09 04:45:00,,,,,
2022-03-09 04:50:00,,,,,
2022-03-09 04:55:00,,,,,
2022-03-09 05:00:00,5.37,200.0,7924.0,32800.0,5.37
2022-03-09 05:05:00,5.34,-700.0,88100.0,19700.0,5.35
2022-03-09 05:10:00,5.37,200.0,96000.0,172600.0,5.37
2022-03-09 05:15:00,5.34,-1600.0,133100.0,140600.0,5.35
2022-03-09 05:20:00,5.31,-2700.0,9800.0,9000.0,5.32
2022-03-09 05:25:00,5.28,-100.0,11900.0,19500.0,5.29
2022-03-09 05:30:00,5.27,-900.0,111600.0,8900.0,5.28
2022-03-09 05:35:00,5.29,800.0,2000.0,53200.0,5.29
2022-03-09 05:40:00,5.23,-1300.0,43200.0,35000.0,5.24
2022-03-09 05:45:00,5.2,200.0,77900.0,400.0,5.2
2022-03-09 05:50:00,5.21,-4000.0,35200.0,98300.0,5.22
2022-03-09 05:55:00,5.24,-2000.0,61600.0,26100.0,5.25
2022-03-09 06:00:00,5.24,6000.0,2300.0,25000.0,5.24
2022-03-09 06:05:00,5.25,1200.0,116200.0,8800.0,5.25
2022-03-09 06:10:00,5.32,2000.0,11300.0,361900.0,5.32
2022-03-09 06:15:00,5.33,200.0,17600.0,54300.0,5.33
2022-03-09 06:20:00,5.31,-2900.0,45500.0,22300.0,5.32
2022-03-09 06:25:00,5.34,400.0,15100.0,37500.0,5.35
2022-03-09 06:30:00,5.37,1000.0,95800.0,46400.0,5.37
2022-03-09 06:35:00,5.38,100.0,188717.0,191992.0,5.38
2022-03-09 06:40:00,5.39,3000.0,11100.0,28100.0,5.39
2022-03-09 06:45:00,5.39,2000.0,78400.0,64800.0,5.39
2022-03-09 06:50:00,5.37,-600.0,99300.0,4900.0,5.38
2022-03-09 06:55:00,5.37,400.0,104700.0,600.0,5.38
