ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-03-07 01:30:00,5.41,-21300.0,108300.0,7200.0,5.42
2022-03-07 01:31:00,5.37,-107100.0,370800.0,100900.0,5.39
2022-03-07 01:32:00,5.43,89400.0,135700.0,155900.0,5.44
2022-03-07 01:33:00,5.38,156000.0,172100.0,99900.0,5.38
2022-03-07 01:34:00,5.34,-93600.0,10600.0,102380.0,5.35
2022-03-07 01:35:00,5.31,-29200.0,46300.0,483000.0,5.31
2022-03-07 01:36:00,5.34,-39900.0,26000.0,20200.0,5.35
2022-03-07 01:37:00,5.35,-15100.0,109700.0,1500.0,5.36
2022-03-07 01:38:00,5.34,-200.0,300.0,44400.0,5.35
2022-03-07 01:39:00,5.35,100.0,35700.0,121300.0,5.35
2022-03-07 01:40:00,5.34,-3700.0,67600.0,28200.0,5.35
2022-03-07 01:41:00,5.35,100.0,172500.0,61900.0,5.36
2022-03-07 01:42:00,5.34,-200.0,304200.0,33500.0,5.35
2022-03-07 01:43:00,5.36,-300.0,168900.0,59900.0,5.37
2022-03-07 01:44:00,5.38,100.0,73100.0,165200.0,5.38
2022-03-07 01:45:00,5.36,-500.0,49000.0,96100.0,5.37
2022-03-07 01:46:00,5.37,1000.0,60500.0,14100.0,5.37
2022-03-07 01:47:00,5.37,100.0,53600.0,336100.0,5.37
2022-03-07 01:48:00,5.32,-200.0,184600.0,194800.0,5.33
2022-03-07 01:49:00,5.38,-300.0,100.0,146900.0,5.39
2022-03-07 01:50:00,5.37,-100.0,247400.0,89300.0,5.38
2022-03-07 01:51:00,5.36,-6800.0,114400.0,39900.0,5.37
2022-03-07 01:52:00,5.34,-600.0,33600.0,123300.0,5.35
2022-03-07 01:53:00,5.33,1000.0,22700.0,287600.0,5.33
2022-03-07 01:54:00,5.36,600.0,16100.0,131900.0,5.36
2022-03-07 01:55:00,5.33,-200.0,194400.0,1200.0,5.34
2022-03-07 01:56:00,5.34,100.0,6200.0,62000.0,5.34
