,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-16 01:30:00,3.14,5800.0,236100.0,31300.0,3.15,3.14
1,2022-03-16 01:40:00,3.14,10000.0,494660.0,266000.0,3.15,3.14
2,2022-03-16 01:50:00,3.17,200.0,555200.0,30400.0,3.18,3.140375
3,2022-03-16 02:00:00,3.14,100.0,168080.0,306500.0,3.15,3.1403726708074533
4,2022-03-16 02:10:00,3.13,600.0,47580.0,705700.0,3.13,3.14
5,2022-03-16 02:20:00,3.14,3200.0,349800.0,640030.0,3.14,3.14
6,2022-03-16 02:30:00,3.14,100.0,138070.0,172900.0,3.15,3.14
7,2022-03-16 02:40:00,3.14,400.0,154500.0,292500.0,3.15,3.14
8,2022-03-16 02:50:00,3.14,100.0,156000.0,286800.0,3.14,3.14
9,2022-03-16 03:00:00,3.12,800.0,158100.0,338555.0,3.13,3.13924882629108
10,2022-03-16 03:10:00,3.13,27900.0,269000.0,1100.0,3.14,3.13400406504065
11,2022-03-16 03:20:00,3.14,500.0,327800.0,21600.0,3.15,3.1340643863179074
21,2022-03-16 05:00:00,3.16,3600.0,919500.0,118800.0,3.17,3.135816135084428
22,2022-03-16 05:10:00,3.19,300.0,447400.0,208600.0,3.19,3.1361194029850745
23,2022-03-16 05:20:00,3.19,1300.0,181400.0,231400.0,3.19,3.1373952641165754
24,2022-03-16 05:30:00,3.21,900.0,241300.0,130500.0,3.21,3.1385663082437274
25,2022-03-16 05:40:00,3.22,1000.0,650300.0,164100.0,3.22,3.14
26,2022-03-16 05:50:00,3.21,1000.0,346960.0,244400.0,3.21,3.14121107266436
27,2022-03-16 06:00:00,3.21,800.0,631300.0,512140.0,3.22,3.1421501706484642
28,2022-03-16 06:10:00,3.22,800.0,454650.0,450940.0,3.22,3.1431986531986533
29,2022-03-16 06:20:00,3.21,700.0,357400.0,234000.0,3.21,3.1439767054908487
30,2022-03-16 06:30:00,3.2,100.0,588850.0,646340.0,3.21,3.1440697674418603
31,2022-03-16 06:40:00,3.21,600.0,863700.0,712720.0,3.22,3.1447203947368423
32,2022-03-16 06:50:00,3.22,800.0,576200.0,829700.0,3.22,3.145698051948052
